Unnamed: 0,job_link,job_skills,Cluster
30,https://www.linkedin.com/jobs/view/optical-sales-associate-part-time-brea-ca-at-us-vision-3766477815,"Sales, Customer service, POS systems, Computer systems, Communication, Problem solving, Flexibility, Multitasking, Physical demands",3
31,https://www.linkedin.com/jobs/view/assistant-controller-at-jobot-3800681955,"Financial Services, BrokerDealer Operations, SEC/FINRA Compliance, Audit, Financial Statements, Financial Analysis, Financial Projections, Accounting Policies, Internal Controls, Financial Reporting, Tax Filings, Business Process Management, Microsoft Office Suite, Accounting Software, CPA, Leadership, Communication, Teamwork, ProblemSolving, DetailOriented",4
32,https://www.linkedin.com/jobs/view/sales-associate-part-time-tommy-hilfiger-at-tommy-hilfiger-2956057013,"Customer Service, Sales, Merchandise Management, Loss Prevention, Communication, Time Management, Attention to Detail, Lifting, Stocking, Merchandising, Visual Presentation, Product Knowledge, Teamwork, Adaptability, Integrity, Professionalism, Flexibility, Lifting, Standing",4
33,https://www.linkedin.com/jobs/view/sales-development-representative-orlando-at-resulticks-3787749872,"Marketing Automation, Sales Automation, CRM, Sales Funnels, Microsoft Excel, Microsoft Power Point, Social Media Management, Digital Marketing, Data Analytics, Cyber Security, Privacy Regulations, Database Architecture, Systems Architecture, Cloud Storage, BANT Criteria, Enterprise Software Sales, Martech, Business Intelligence, Analytics Software, Prospecting, Communication, Presentation, Product Demonstration, Sales Pipeline Management, Pipeline Analysis, Forecasting, Account Management, Consultative Sales, Negotiation, Closing, Business Acumen, Storytelling",5
34,https://www.linkedin.com/jobs/view/assistant-executive-housekeeper-holiday-inn-express-grandville-at-suburban-inns-3787731332,"Customer service, Communication, Training, Supervision, Problemsolving, Inspection, Reporting, Housekeeping standards, Laundry, Lost and found, Computer system, Guest satisfaction, Safety, Maintenance, Room cleaning, Deliveries, Record keeping, Typing, Basic computer knowledge, Word processing, Hazcom Training, Bloodborne Pathogen Training, Flexible schedule, Uniform, Nonslip shoes, Hair grooming, Facial piercings, Tattoos",4
35,https://www.linkedin.com/jobs/view/assistant-head-custodian-at-ysleta-independent-school-district-3801798044,I'm unable to extract the requested data from the provided context because it does not contain any information about technical skills frameworks languages softwares concepts and requirements.,5
36,https://www.linkedin.com/jobs/view/head-clerk-at-city-of-worcester-3802162744,"Microsoft Office 365, Basic accounting practices, Verbal and written communication skills, Multitasking in fastpaced environment, Independent and team work, Learning information quickly, Keeping personal records & time sheets, Establishing and maintaining effective working relationships, Clear and concise expression orally and in writing, High School Diploma or GED, Customer Service or Call Center Experience, Computer proficiency with Microsoft Office Suite, Language socioeconomic status race/ethnicity awareness, Accounting Business Communication degree or higher, Municipal accounting experience, Cemetery experience",5
37,https://www.linkedin.com/jobs/view/retail-assistant-manager-sales-at-talbots-3726294251,"Customer Service, Communication, Teamwork, Leadership, Problem Solving, Decision Making, Organization, Adaptability, Flexibility, Time Management, Technical Aptitude, Computer Skills, POS/iPad/Handheld Systems, Physical Strength, Availability, Fashion Trends, Business Knowledge, Competitive Analysis, Sales and Hospitality Metrics, Clientelling, Appointment Setting, Talbots Classic Awards, Coaching and Training, Accountability, Compliance, Positive Work Environment",4
38,https://uk.linkedin.com/jobs/view/cleaning-area-manager-at-zing-environments-ltd-3801450604,"Communication skills, Bilingual, Organizational skills, Time management, Cleaning industry experience, Prioritization, Problemsolving, Team building, Customer focus, IT skills, Clean driving license, Managerial experience, DBS records, Customer complaints handling, Retention targets, GP Margin, Contract changes, Work performance management, Team behavior management, Budget management, Site visit reporting, Staff recruitment, Staff training, Customer relationship management, Stock management, Equipment purchasing, Materials purchasing, Consumables purchasing, Facilities team support, Contract setup, Compliance, Legislation, Health, Safety regulations, Company specifications, Client specifications, Service delivery, Professional image",1
39,https://www.linkedin.com/jobs/view/nurse-practitioner-or-physician-assistant-medical-oncology-hematology-full-time-days-at-northwestern-medicine-3793867922,"Nursing, Physician Assistant, Oncology, Hematology, Advanced Practice Registered Nurse, Advanced Practice Provider, Prescribing, Documentation, Referrals, Consultation, Patient Advocacy, Continuing Education, Research, Quality Improvement, Public Speaking, Teaching, Preceptorship, BLS Certification, CPR Certification, Cardiology, Pulmonary Medicine, Radiation Oncology, Hematology Oncology, Medical Oncology, Patient Care, Physical Examination, Diagnosis, Treatment Planning, Medication Management, Laboratory Testing, Imaging, Patient Education, Communication, Teamwork, Problem Solving, Critical Thinking, Decision Making, Professionalism, Ethics, Cultural Competence",0
40,https://www.linkedin.com/jobs/view/benefits-accounting-analyst-at-arctic-slope-regional-corporation-3790435660,"Employee Benefits, Premium Accounting, Auditing, Life and Disability Insurance, Payroll, Human Resources, Vendor Management, Billing, Funding Requests, Problem Analysis, Resolution, Project Management, Excel, Accounting Systems, Reporting, Intermediate Programming",5
41,https://www.linkedin.com/jobs/view/campus-retail-associate-part-time-west-virginia-univ-evansdale-crossing-at-barnes-noble-college-3753754234,"Customer Service, Sales, Cashier, Stocking, Cleaning, Food Preparation, Sanitation, Math, Keyboarding, Data Entry",3
42,https://www.linkedin.com/jobs/view/teacher-grades-1-2-eoy-at-loudoun-county-public-schools-3679708402,"**Skills:**, Elementary Education, Child Development, Classroom Management, Behavior Management, Collaborative Teaching, Communication, Oral Communication, Written Communication, **Frameworks:**, Virginia Standards of Learning, LCPS curriculum, **Languages:**, English, **Softwares:**, N/A, **Concepts:**, Student Learning, Student Assessment, Educational Goals, Educational Objectives, Educational Outcomes, Curriculum, Competencies, Instructional Strategies, Learning Environment, Professional Development, Professional Learning Community, **Requirements:**, Bachelor's degree, Virginia teaching license, Elementary content knowledge, Curriculum knowledge, Methodology of effective teaching, Ability to apply research and theory to instruction, Ability to establish and maintain collaborative relationships, Excellent communication skills, Human relations skills, Physical requirements (sitting lifting pushing pulling)",5
43,https://www.linkedin.com/jobs/view/lead-night-cleaner-excellent-opportunity-to-leadership-at-environment-control-colorado-springs-3791862350,"Janitorial, Cleaning, Vacuuming, Mopping, Trash removal, Equipment maintenance, Quality control, Training, Driving, Background check, Reliable transportation, Attention to detail, Team orientation, Motivation, Pride in work",5
44,https://www.linkedin.com/jobs/view/assistant-store-manager-1-at-mother-s-market-kitchen-3721020112,"Verbal proficiency, English language, Advanced reading and writing, Computer literacy, Microsoft Word, Microsoft Excel, Microsoft Outlook, Excellent customer service skills, Proficiency in basic math, Leadership abilities, Written communication, Verbal communication, Excellent customer service, Flexibility in work schedule, Strong physical condition, Lift heavy objects, Stand and walk frequently, Bend and twist often",5
45,https://www.linkedin.com/jobs/view/quality-auditor-watch-protect-technician-at-gridhawk-llc-3798880687,"Quality audits, Onsite audits, Inspection, Communication, Excavation, Monitoring, Surveillance, Locating devices, Utility maps, Ticket audits, High school diploma, GED, Driver's license, Reading, Communication, Organization, Safe work practices, Utility infrastructure, Design drawings, Industry standard locating equipment, Basic communication and tech devices, Physical strength, Handeye coordination, Work outside in all weather conditions, Work in excavations areas and roadways, Fulltime, Hourly, Paid holidays, PTO, Health benefits, 401k, 401k matching, Dental insurance, Flexible spending account, Health savings account, Life insurance, Paid time off, Vision insurance, 10 hour shift, 8 hour shift, Weekends as needed, Inperson",5
46,https://www.linkedin.com/jobs/view/automotive-technician-at-drivetime-3804277042,"Automotive technician, Bumpertobumper inspections, Repair, Part replacement, Light to medium mechanical repairs, Inspecting vehicles, Documenting findings, Reconditioning Center Management, Test driving, Cooling, Braking, Charging, Steering/suspension, AC, Electrical system components, Industry experience, Line work, ASE certified, Team environment, Attendance, High School Diploma or GED, Driver's license, 18 years of age, Experience (5 years), Medical insurance, Dental insurance, Vision insurance, 401(K), Life insurance, Disability coverage, Growth opportunities, Tuition reimbursement, Wellness program, Competitive pay, Work/life balance, PTO, Paid holidays, Background check, Drug screening, Professional environment, Fun environment, Highenergy environment",5
47,https://uk.linkedin.com/jobs/view/system-partner-and-manufacturing-procurement-manager-at-rots-informatica-e-comercio-eletr%C3%B4nico-ltda-3803887537,"Procurement, Manufacturing, Supply Chain Management, System Partner Strategy, Engineering, Fusion Technology, System Partners, Business Cases, Source to Contract Lifecycle, Supplier Management, Commercial Strategy, Strategic Decision Making, Public Sector, Matrix and ProjectBased Environment, Multiple Projects, Commercial Strategies, Pricing Models, Legal Frameworks",5
48,https://www.linkedin.com/jobs/view/in-home-sales-service-cable-systems-installer-at-southern-star-inc-3664891977,"Communication, Sales, Strategic thinking, Time management, Upselling, Driver's license, Travel, Ladders, Heights, Attics, Crawlspace, Performance incentives, Hourly pay, Commission",4
49,https://www.linkedin.com/jobs/view/public-defender-assistant-grade-i-at-monroe-county-3685108891,"Legal representation, Family law, Child welfare, Family regulation, Advocacy, Case management, Communication, Racial diversity, Equity, Inclusion, Antiracism, Collaboration, Fluency in Spanish",5
50,https://www.linkedin.com/jobs/view/host-hostess-at-memorial-health-3793272871,"Customer service, Communication, Reading comprehension, Active listening, Problem solving, Accuracy, Speed, Attention to detail, Ability to work in a fastpaced environment, Ability to work shifts, Ability to lift and carry heavy objects, Ability to withstand heat and steam, Ability to use detergents, Ability to work under stress, Ability to adapt to changing conditions, Ability to comprehend and follow written and verbal instructions, Ability to communicate effectively in English, Knowledge of food safety and sanitation practices, Knowledge of hospital policies and procedures, Ability to work well in a team, Ability to maintain composure in difficult situations, Ability to meet deadlines, Ability to work independently, Ability to use a computer",4
51,https://uk.linkedin.com/jobs/view/rehabilitation-assistant-band-3-at-gloucestershire-health-and-care-nhs-foundation-trust-3788985296,"Patient care, Rehabilitation, Occupational therapy, Physical therapy, Communication skills, Teamwork, IT skills, Medical records, Equipment ordering, Administrative duties",1
52,https://www.linkedin.com/jobs/view/part-time-assistant-manager-at-cinemark-3581254763,"Management Foundations, Annual Certifications, MAP Core, Safe Alcohol Service training, Food handling training, Cash handling, Basic math skills, Communication (verbal and written), Leadership, Teamwork, Time management, Organizational skills, Attention to detail, Conflict resolution, Customer service, Cleaning, Safety, Sanitation, Physical fitness, Lifting, Standing, Walking, Reaching, Noise tolerance",4
53,https://www.linkedin.com/jobs/view/lead-sales-associate-pt-at-dollar-general-3580099338,"Cashier, Stocker, Retail Operations, Customer Service, Unloading Trucks, IBM Cash Register, Planogram Implementation, Inventory Management, Retail Security, Cash Handling, Mathematical Calculations, Safety Policies, Communication Skills, High School Diploma, Supervisory Experience",3
54,https://www.linkedin.com/jobs/view/lead-sales-associate-ft-at-dollar-general-3683050225,"Customer service, Cash register operation, Stocking and recovering merchandise, Cleaning, Planogram implementation and maintenance, Safety policies and practices, Planogram and merchandise presentation guides, Mathematical calculations, Cash handling procedures, Cashier accountability, Deposit control, High school diploma, Supervisory experience, Walking, Standing, Bending, Stooping, Kneeling, Lifting, Climbing, Fastpaced environment, Noise level, Weather conditions, Driving, Transportation",3
55,https://www.linkedin.com/jobs/view/gastroenterologist-at-gi-alliance-3804307103,"Gastroenterologist, Endoscopic Ultrasound (EUS), GIEndoscopy, Gastroenterology",5
56,https://www.linkedin.com/jobs/view/anesthesiologist-at-health-ecareers-3800368309,"Anesthesiology, Anesthesia, Perioperative Medicine, Hospital, Medical, Healthcare",5
57,https://www.linkedin.com/jobs/view/sales-associate-westfarms-shopping-mall-at-untuckit-3785577793,"Sales associate experience, Customer service skills, Knowledge of UNTUCKit products, Ability to create a fun and relaxed shopping environment, Ability to maintain a tidy sales floor and stockroom, Ability to juggle multiple customers, Teamwork, Ability to provide customer feedback and observations, Ability to work a flexible schedule, Ability to work alone and open/close the store, Proficiency in Apple technology, Proficiency in Omnichannel POS systems, Strong communication and interpersonal skills, Customer service focus, High school degree, Paid time off, Life insurance, Family leave, Short term & long term disability, Training & development, Wellness resources",5
58,https://www.linkedin.com/jobs/view/sr-pipeline-technician-beaver-ok-at-northern-natural-gas-3742778928,"Programmable Logic Controllers (PLCs), Human Machine Interfaces (HMIs), Motor Control Centers (MCCs), Power Distribution, Pneumatic Control Devices, Gas Measurement Equipment, Gas Meters, Control Valves, Relief Valves, Regulators, Corrosion Protection Equipment, Rotating and Reciprocating Compression Equipment, Liquefied Natural Gas Operations, Underground Storage Operations, Compressor Station Operations, Pigging Operations, Damage Prevention Measures, Pipeline Right of Way Maintenance, Mobile Heavy Equipment Operation, Pipeline Welding, Structural Welding, Environmental Standards, Environmental Activities, Regulatory Compliance, API 1104 Standards, ASME Standards, AWS Standards, Associate of Applied Science Degree, Pipeline Technician Academy, Driver's License, Overtime, Overnight Stays, OnCall Schedules, Rotating Schedules, Emergency Response, Diversity and Inclusion, Equal Opportunity Employer",5
59,https://uk.linkedin.com/jobs/view/occupational-health-nurse-technician-at-occupational-health-staffing-3791063837,"Occupational Health, Audiometry, Spirometry, Vision Screening, Urine Test",5
60,https://uk.linkedin.com/jobs/view/senior-architectural-technician-at-ecocareers-3780868502,"Senior Architectural Technician, Vectorworks, Adobe Suite, UK construction legislation, Building Regulations, Project running, Site experience, Team management, Sustainable design, Energyconscious design, Technical qualification (HNC HND Degree), 5+ years UK experience, Excellent clientfacing skills",5
61,https://www.linkedin.com/jobs/view/senior-executive-assistant-at-mission-driven-healthcare-startup-at-bloom-talent-3802551043,"Microsoft Office Suite, Slack, Google Workspace, Box, Zoom, IT, Calendar Management, Scheduling, Event planning, Board presentation, Document preparation, Stakeholder management, People management, Payroll, Project management, Teambuilding, Travel management, Time management, Vendor management, Problemsolving, Attention to detail, Communication, Teamwork, Adaptability, Troubleshooting",4
62,https://www.linkedin.com/jobs/view/%E2%80%8Bassistant-general-manager-buffalo-wild-wings-beckley-at-grube-inc-3772444810,"Management experience, Teamwork, Communication, Customer service, Problemsolving, Food safety, Restaurant operations, Labor management, Inventory management, Scheduling, Food preparation, Compliance, Sanitation, Hygiene, Training, Coaching, Performance management, Motivation, Incentive programs, Contests, Promotions, Performance management, Product knowledge, Waste management, Quality control, Vendor management",4
63,https://www.linkedin.com/jobs/view/administrative-officer-at-first-division-consulting-inc-3799870567,"Administrative support, Document management, Process improvement, Action tracking, SharePoint, Teams, Morning reports, Calendar management, Communications management, Organizational charts, Personnel management, Travel request management, New employee onboarding, SAAR form processing, Microsoft Office Suite, Databases, Action tracking systems, Multitasking, Prioritization, Security clearance, Medical benefits, Dental benefits, Vision benefits, Life insurance, STD benefits, LTD benefits, Holidays, PTO, 401(k) plan, Equal opportunity employer",5
